"State","Population","Area","Children","Age","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","Response","Fix","Replacement","Reliability","Options","Respectful","Courteous","Listening"
"IL",7870,"Suburban",2,23,132116.33,"Divorced","Male","Yes",12.50184778,11,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Bank Transfer(automatic)",22.25746016,184.964681,2384.885909,4,4,5,2,2,4,3,3
"TN",15364,"Rural",1,86,26534.16,"Separated","Female","No",7.868660851,11,2,2,"No","Two Year","Yes","No","None","Yes","No","No","No","No","No","Yes","No","No","Bank Transfer(automatic)",7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3
"NC",39649,"Urban",5,68,43820.85,"Divorced","Female","Yes",8.015021713,12,1,0,"No","Month-to-month","Yes","No","None","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2
"NE",315,"Urban",0,51,14364.65,"Widowed","Male","Yes",9.03738856,11,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Mailed Check",12.07970325,160.00128,1296.674543,4,2,4,5,4,3,3,4
"TX",46869,"Suburban",1,73,82634.86,"Married","Male","Yes",8.387624096,11,0,1,"No","Month-to-month","No","No","DSL","Yes","No","No","Yes","No","No","No","No","Yes","Electronic Check",9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4
"IL",2765,"Urban",1,25,81831.49,"Widowed","Male","No",9.565924291,10,3,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Electronic Check",2.344875382,194.976769,704.7540406,3,4,3,2,3,4,2,4
"PA",3757,"Rural",0,42,100076.65,"Separated","Female","Yes",10.79349982,14,3,0,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Mailed Check",7.960490246,152.455519,1416.444695,5,5,5,4,3,2,4,4
"NC",3761,"Suburban",1,43,34883.69,"Divorced","Female","No",13.55065547,13,0,0,"Yes","Month-to-month","No","Yes","None","Yes","No","No","No","Yes","No","No","Yes","Yes","Electronic Check",9.634946079,127.488728,1083.610268,4,4,4,3,4,4,3,3
"CA",1851,"Urban",2,63,45634.2,"Never Married","Male","No",9.470419821,14,1,0,"No","Two Year","Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Bank Transfer(automatic)",7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3
"IL",38476,"Suburban",3,70,10964.73,"Married","Female","Yes",6.194985909,11,0,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",4.471254161,265.146969,1007.425553,3,3,2,4,4,3,3,3
"MO",13547,"Urban",1,78,22365.28,"Widowed","Male","Yes",10.80393657,19,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","No","No","Yes","Yes","No","Bank Transfer(automatic)",10.79028074,207.609354,1323.028419,4,4,3,6,2,5,7,4
"TX",7801,"Urban",0,48,52636.6,"Separated","Male","No",7.903964267,17,0,1,"No","Month-to-month","Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Yes","No","No","Electronic Check",12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1
"WY",17823,"Suburban",1,63,19048.13,"Separated","Female","Yes",11.27443693,18,2,1,"Yes","Month-to-month","Yes","No","DSL","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",2.203859443,200.132293,1120.241472,4,4,4,5,4,4,4,3
"IL",273,"Rural",1,24,19038.78,"Never Married","Female","Yes",13.04429298,18,1,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Mailed Check",24.64873861,240.114868,2660.503932,4,4,5,1,4,4,3,3
"PA",285,"Rural",0,31,45148.38,"Divorced","Male","No",15.66367593,6,1,0,"Yes","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","No","No","No","Credit Card (automatic)",7.832238337,169.992756,943.3391244,3,3,3,4,4,3,4,4
"KS",1206,"Suburban",2,32,71596.14,"Divorced","Female","No",8.6026551,11,0,0,"No","One year","Yes","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Bank Transfer(automatic)",2.257358355,195.006206,631.7435653,5,3,5,5,3,3,5,2
"VA",35279,"Rural",0,33,10389.95,"Never Married","Male","No",6.03993035,15,1,0,"No","One year","No","No","Fiber Optic","Yes","No","Yes","No","No","No","Yes","No","Yes","Credit Card (automatic)",2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6
"CA",319,"Urban",0,61,19815.63,"Never Married","Female","No",11.59313893,13,0,2,"No","One year","Yes","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",4.151256695,134.950905,393.6524652,3,2,3,4,3,4,5,4
"NC",55519,"Rural",0,75,58482.9,"Separated","Female","Yes",8.294186076,13,0,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Mailed Check",2.188918771,192.470522,409.7486664,3,3,3,3,3,4,3,3
"MA",15210,"Urban",0,63,41656.53,"Widowed","Female","Yes",15.19664016,9,1,0,"No","Month-to-month","Yes","Yes","DSL","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Mailed Check",13.85488928,222.628057,2138.107161,3,2,3,2,4,3,2,4
"MI",3499,"Suburban",0,68,115510.46,"Separated","Female","No",5.083995994,3,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Electronic Check",3.273341151,162.468917,443.984031,2,2,2,4,3,3,4,3
"IL",521,"Suburban",10,23,64816.84,"Divorced","Male","Yes",5.271228601,14,1,1,"No","Month-to-month","No","No","Fiber Optic","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Mailed Check",12.97632235,187.484705,1956.7337,3,2,2,4,3,2,3,2
"ND",3324,"Suburban",0,20,40211.04,"Never Married","Male","No",14.4754365,11,1,1,"No","One year","No","No","Fiber Optic","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Electronic Check",6.998814446,182.467607,1067.373076,3,4,3,5,2,6,6,6
"NY",31927,"Urban",0,53,23289.77,"Divorced","Female","Yes",12.40165307,19,1,0,"No","Month-to-month","No","Yes","None","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Mailed Check",2.542296644,220.161527,808.4305471,2,4,3,2,3,3,5,3
"VA",41733,"Urban",1,47,55861.19,"Divorced","Male","No",15.68043093,16,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","No","No","Yes","No","Yes","Bank Transfer(automatic)",5.197446331,137.439154,704.9375603,4,4,4,4,3,3,4,3
"KY",69,"Urban",6,24,26282.4,"Married","Female","No",9.807530479,10,1,0,"Yes","One year","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","No","No","Yes","Mailed Check",6.311709178,137.483594,1353.29384,5,5,4,3,3,3,3,3
"SC",155,"Urban",0,38,11014.98,"Divorced","Male","Yes",9.062879297,11,2,0,"Yes","Two Year","No","No","None","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Electronic Check",9.344886869,210.138,1403.270091,4,4,4,4,3,4,4,4
"FL",31859,"Urban",3,35,54533.63,"Divorced","Female","No",8.943293567,15,2,1,"No","Month-to-month","Yes","Yes","None","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Bank Transfer(automatic)",8.156552837,187.656013,1347.869205,4,4,4,3,4,3,3,4
"IL",821,"Urban",0,52,36240.81,"Separated","Male","No",9.173739977,14,0,1,"No","Two Year","Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","No","No","No","Electronic Check",4.171044392,120.004928,991.2441024,4,4,5,3,3,4,4,5
"AL",5529,"Rural",8,66,12995.68,"Divorced","Female","No",11.36323648,12,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","Yes","No","Yes","Yes","Mailed Check",2.730250735,159.951231,577.1157824,3,3,3,6,3,6,5,4
"NH",25328,"Rural",1,70,77531.43,"Divorced","Female","Yes",2.310584634,14,1,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Bank Transfer(automatic)",8.574901206,184.949594,1442.974877,2,3,2,4,4,2,1,3
"MN",610,"Suburban",2,59,76567.85,"Separated","Male","No",5.258274954,8,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","No","No","No","Yes","Bank Transfer(automatic)",9.482919033,112.455141,886.9398744,4,5,4,4,4,4,5,4
"DE",34,"Rural",1,46,30663.52,"Married","Male","No",7.157580014,12,0,0,"No","Two Year","No","No","Fiber Optic","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Electronic Check",8.447988841,179.979358,1065.06443,4,3,4,4,5,2,3,3
"KY",1076,"Urban",0,26,32652.3,"Married","Female","Yes",7.410590719,9,0,1,"Yes","Month-to-month","No","Yes","DSL","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Electronic Check",11.71637124,174.976769,1805.011298,5,4,5,4,4,4,4,4
"IL",1692,"Urban",4,25,63650.54,"Divorced","Female","No",11.39765385,8,1,1,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Electronic Check",4.13273503,169.992756,700.7343179,4,3,4,3,4,3,3,3
"TX",12914,"Urban",3,31,19800.81,"Divorced","Male","No",10.31551212,11,2,1,"No","One year","No","Yes","DSL","Yes","No","No","No","Yes","No","No","Yes","No","Credit Card (automatic)",5.15825129,139.965008,1313.492851,5,5,5,4,2,3,4,3
"IL",2673,"Urban",0,50,107111.8,"Widowed","Female","Yes",15.38627887,12,2,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","Yes","No","Yes","No","No","Yes","No","Credit Card (automatic)",2.600063739,162.482694,528.6553088,3,3,2,3,4,4,4,3
"AL",3410,"Suburban",1,73,35478.4,"Married","Female","No",7.602570192,7,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","Yes","Yes","No","Yes","Mailed Check",8.4944392,149.948316,847.110799,4,3,2,3,5,2,4,2
"NY",2482,"Urban",4,70,34112.1,"Never Married","Male","Yes",13.36027908,12,0,0,"No","One year","Yes","No","None","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Bank Transfer(automatic)",10.21634248,187.656013,1479.730181,4,2,3,4,4,3,4,4
"OK",902,"Suburban",0,53,32653.51,"Married","Male","Yes",4.372034777,7,1,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Mailed Check",15.50354683,164.985293,2144.735024,3,3,3,2,7,3,4,3
"TX",207,"Rural",2,44,14928.96,"Widowed","Male","No",17.56798903,14,2,0,"No","One year","Yes","No","Fiber Optic","Yes","No","No","Yes","Yes","No","No","No","No","Electronic Check",7.34059599,147.473844,939.7181324,3,4,4,2,4,3,2,3
"AL",99,"Suburban",1,58,87535.71,"Divorced","Male","No",8.54892416,15,0,1,"No","Two Year","Yes","No","DSL","Yes","No","Yes","No","No","No","Yes","No","No","Mailed Check",8.850426839,119.95684,1456.887443,3,2,3,3,4,2,3,3
"KY",530,"Urban",7,23,46871.21,"Divorced","Male","No",8.941553742,10,0,0,"No","One year","Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Mailed Check",17.24924155,139.983006,2392.203409,5,4,5,5,1,6,5,5
"NY",241,"Suburban",1,70,51721.64,"Never Married","Female","No",10.05388383,12,2,0,"No","One year","Yes","No","None","Yes","No","No","No","No","No","No","No","No","Bank Transfer(automatic)",5.587484456,79.978861,418.6206885,4,3,1,2,5,3,4,3
"OH",673,"Urban",0,87,41531.03,"Married","Female","No",7.045552801,13,2,0,"No","Two Year","Yes","Yes","DSL","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Mailed Check",7.007695148,142.482694,1181.991846,5,4,3,4,4,4,3,4
"MN",2394,"Urban",1,34,35988.24,"Separated","Female","No",11.741245,9,0,0,"No","One year","No","Yes","None","Yes","No","Yes","Yes","No","No","No","Yes","No","Bank Transfer(automatic)",15.87685513,139.979239,1708.614019,5,5,5,6,2,5,6,5
"VA",1423,"Rural",0,52,16851.94,"Widowed","Male","Yes",10.95510131,11,0,1,"No","Month-to-month","Yes","Yes","None","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Electronic Check",18.56165869,194.999168,2007.303617,4,2,3,4,2,5,4,3
"NM",1935,"Suburban",1,35,16440.05,"Never Married","Nonbinary","Yes",10.8621377,16,1,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Bank Transfer(automatic)",12.39088509,242.610632,2088.48083,5,4,5,4,3,4,3,5
"IL",90517,"Suburban",3,83,44223.58,"Widowed","Female","No",7.352533505,15,2,0,"No","Month-to-month","Yes","No","None","Yes","No","No","Yes","No","No","Yes","No","No","Electronic Check",14.17192333,127.458638,1430.761492,2,3,1,3,3,1,4,3
"MN",1003,"Suburban",0,25,30664.56,"Separated","Female","Yes",9.580144161,13,4,0,"No","One year","No","No","Fiber Optic","Yes","Yes","No","No","No","No","Yes","Yes","No","Electronic Check",17.72593456,240.114868,2059.200998,2,3,3,4,3,4,5,4
"MD",884,"Suburban",1,54,26676.4,"Widowed","Female","No",9.982341124,8,0,0,"No","One year","Yes","No","Fiber Optic","Yes","Yes","No","No","No","No","Yes","No","No","Electronic Check",5.827112819,169.944668,758.4775985,2,3,2,3,5,2,3,2
"OH",11245,"Suburban",1,46,67211.95,"Never Married","Male","Yes",6.511921085,12,0,1,"No","Month-to-month","Yes","Yes","None","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Electronic Check",4.648958177,162.511928,894.6733856,5,5,5,4,3,4,4,3
"MA",28666,"Urban",3,54,13765.39,"Widowed","Female","Yes",16.68178185,8,2,0,"No","Month-to-month","Yes","No","DSL","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Electronic Check",15.85002222,232.637807,2401.406545,5,4,5,5,2,4,4,3
"TX",266,"Urban",0,53,42523.02,"Separated","Male","No",12.99948061,12,1,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","No","Yes","No","No","Yes","Electronic Check",11.94550648,137.469817,1536.589816,3,4,4,3,3,4,2,3
"IN",1065,"Urban",1,43,36128.68,"Married","Male","Yes",11.30215199,12,1,1,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Bank Transfer(automatic)",12.02106494,195.006206,1447.196935,4,3,2,3,4,2,3,2
"MN",16882,"Rural",1,27,41151.14,"Divorced","Female","No",8.272244827,11,3,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","Yes","No","No","No","No","Mailed Check",16.0708543,157.483594,1575.683555,3,3,4,6,2,4,4,3
"MN",1083,"Rural",0,40,99195.08,"Married","Female","Yes",7.913676085,16,1,0,"No","One year","No","No","DSL","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Mailed Check",9.405224809,194.966286,1623.273925,3,2,2,4,2,4,4,4
"TX",39035,"Suburban",4,68,9428.86,"Divorced","Female","No",11.95206054,7,0,1,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","Yes","Yes","Electronic Check",12.00925702,169.937833,1297.388488,4,4,4,3,4,3,3,3
"NY",3639,"Urban",1,63,51992.79,"Married","Female","Yes",10.2863601,10,1,1,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","No","No","Yes","Yes","Yes","Electronic Check",4.98152586,207.609354,849.1972541,2,2,4,3,4,1,2,2
"MO",2950,"Rural",0,53,79993.43,"Divorced","Female","No",11.17709222,12,0,2,"No","Month-to-month","Yes","No","None","Yes","Yes","No","Yes","Yes","No","No","No","No","Credit Card (automatic)",23.12150846,147.503078,2131.359827,3,3,3,3,3,3,3,2
"WA",346,"Urban",0,33,49396.09,"Widowed","Male","Yes",7.779622319,12,3,0,"No","Month-to-month","No","No","None","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Electronic Check",9.740709475,190.173699,1514.131966,2,2,3,4,5,2,3,2
"VA",655,"Urban",4,83,5511.77,"Married","Male","Yes",8.477982632,19,0,0,"No","Month-to-month","Yes","No","None","Yes","No","Yes","No","No","No","Yes","Yes","No","Electronic Check",11.04076215,177.65076,1494.716409,3,4,3,4,3,4,5,6
"NE",617,"Suburban",0,49,27976.63,"Divorced","Female","No",12.76603868,8,2,1,"No","Two Year","No","Yes","None","Yes","Yes","No","Yes","No","No","No","No","Yes","Electronic Check",11.77389421,134.980139,1129.529441,4,4,4,2,4,2,3,2
"WV",444,"Urban",0,41,56154.5,"Married","Female","No",6.348897952,10,3,0,"No","One year","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","No","No","No","No","Mailed Check",2.585228303,157.483594,394.0148722,1,2,2,2,2,3,3,1
"TX",48969,"Urban",0,75,62145.59,"Widowed","Female","No",16.10939031,9,2,1,"No","One year","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Credit Card (automatic)",9.517703088,255.141716,1302.230824,3,2,3,4,3,4,5,3
"FL",17307,"Rural",1,60,6517.94,"Married","Female","No",7.151598137,13,0,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","No","No","No","No","No","Yes","No","Yes","Mailed Check",9.532523799,137.439154,970.4682919,4,4,5,4,3,5,4,5
"CA",25764,"Suburban",1,70,19090.03,"Never Married","Male","No",4.575363954,13,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Mailed Check",23.103996,235.159141,2522.88913,4,5,4,4,3,4,5,4
"MN",671,"Suburban",0,23,13194.33,"Divorced","Male","Yes",13.42263904,9,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","Yes","No","Yes","No","No","Yes","Mailed Check",5.104873611,147.460067,682.9871863,4,4,4,4,3,4,6,5
"MA",25619,"Suburban",1,63,34447.89,"Married","Male","Yes",5.971214226,13,3,0,"No","One year","Yes","No","Fiber Optic","Yes","No","No","No","No","No","Yes","No","Yes","Mailed Check",21.17839683,137.439154,1961.923965,3,4,4,5,4,4,3,3
"KY",398,"Suburban",1,49,14202.72,"Never Married","Female","Yes",10.26519974,17,0,0,"Yes","Month-to-month","No","No","DSL","Yes","No","No","No","No","No","Yes","Yes","No","Mailed Check",11.58276897,187.609354,1849.484087,4,4,4,3,3,4,3,4
"WV",2526,"Suburban",0,57,65951.35,"Separated","Female","No",2.98020454,11,0,0,"Yes","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","Yes","Yes","No","No","Yes","Credit Card (automatic)",11.38099891,137.487242,994.6354785,4,4,3,4,3,3,4,3
"OH",26659,"Rural",1,71,84301.44,"Separated","Male","Yes",10.97274944,10,0,1,"No","Month-to-month","No","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Electronic Check",12.42120946,207.475448,1886.153328,3,3,4,3,4,2,4,3
"FL",11294,"Rural",0,24,75458.79,"Separated","Female","No",9.531063533,10,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","No","No","No","Yes","Electronic Check",14.86764776,147.478341,1446.203986,5,5,5,2,3,3,4,5
"CO",114,"Urban",1,19,41075.64,"Widowed","Female","No",10.04585562,14,1,1,"Yes","One year","No","No","None","Yes","No","No","No","Yes","Yes","No","Yes","No","Electronic Check",11.16903388,139.99789,1292.3206,5,5,5,4,3,5,4,3
"NM",110,"Suburban",4,31,82131.87,"Separated","Female","Yes",9.975481565,13,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Electronic Check",3.212400569,202.443347,769.8534863,5,3,4,2,4,3,4,2
"MO",729,"Urban",3,31,55398.87,"Widowed","Male","No",10.1755818,17,2,0,"No","Two Year","No","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Electronic Check",4.030250374,144.988941,1301.49424,4,4,3,3,4,1,2,4
"NC",22569,"Suburban",0,50,40271.47,"Married","Male","Yes",13.93422217,11,1,0,"Yes","Month-to-month","Yes","No","None","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",9.821728297,172.484753,1283.463995,3,3,3,3,5,2,3,3
"MI",2019,"Rural",0,28,56178.63,"Divorced","Male","No",3.405050602,11,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","No","No","No","Electronic Check",9.183905417,124.97808,987.653655,5,5,4,4,4,4,3,2
"CO",3232,"Rural",3,72,74061.48,"Never Married","Male","No",5.863179258,16,0,0,"No","Month-to-month","Yes","No","DSL","Yes","No","No","No","Yes","No","No","Yes","No","Bank Transfer(automatic)",12.4767812,139.965008,1778.733282,4,5,3,5,2,6,5,4
"VA",1253,"Rural",1,82,29982.49,"Divorced","Female","Yes",4.586902043,14,0,0,"Yes","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Electronic Check",7.272649386,232.622804,1143.826239,5,5,5,4,2,4,5,4
"NY",582,"Suburban",1,78,119968.61,"Divorced","Female","Yes",8.993783986,7,3,0,"No","Month-to-month","Yes","No","Fiber Optic","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Credit Card (automatic)",14.6728104,184.985293,1564.936841,4,3,4,4,3,4,3,5
"MS",3032,"Urban",1,43,8495.04,"Widowed","Male","No",7.045651851,11,1,2,"Yes","Two Year","Yes","No","None","Yes","No","No","No","No","Yes","No","No","Yes","Electronic Check",5.954024226,92.488023,623.7865683,3,4,3,4,3,4,4,5
"NE",396,"Urban",0,48,87568.16,"Married","Female","Yes",11.11756812,12,0,0,"No","Month-to-month","Yes","No","DSL","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",9.734064703,200.132293,1755.645123,4,4,4,3,5,5,3,5
"KS",926,"Rural",4,49,114398.35,"Married","Male","Yes",8.713443753,10,2,0,"No","Month-to-month","No","No","DSL","Yes","Yes","No","No","No","No","No","No","Yes","Electronic Check",6.485034974,124.960655,1221.100604,2,2,2,4,4,3,4,5
"MD",6910,"Rural",4,79,25215.22,"Separated","Female","Yes",7.044096971,13,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Bank Transfer(automatic)",5.690013293,245.145743,1201.484293,2,2,3,3,2,3,1,3
"OH",8447,"Suburban",0,37,34419.26,"Married","Female","Yes",10.18921185,12,1,0,"No","Month-to-month","Yes","No","DSL","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Electronic Check",5.397827503,200.132293,1436.408211,4,5,5,3,4,4,4,3
"PA",35345,"Urban",7,24,8507.97,"Never Married","Female","No",9.518819692,11,3,0,"No","Two Year","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Bank Transfer(automatic)",9.001231999,197.470195,1852.503069,5,4,3,2,3,3,4,2
"CT",41155,"Rural",3,48,64420.19,"Married","Male","No",11.01996949,15,3,2,"No","Two Year","No","No","Fiber Optic","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Electronic Check",10.9750814,192.456745,1312.008382,4,4,4,4,4,5,5,5
"OR",115,"Rural",3,74,64446.9,"Married","Male","Yes",11.17971961,13,2,0,"No","Month-to-month","Yes","No","None","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Mailed Check",14.12966281,222.660939,1854.793303,4,4,4,5,3,3,2,1
"WA",1079,"Urban",1,37,20647.83,"Never Married","Female","No",12.16826675,17,1,0,"No","Two Year","Yes","No","DSL","Yes","No","No","Yes","No","No","No","No","No","Electronic Check",14.66914461,114.950905,1778.431765,4,4,4,2,5,3,3,4
